_id,dataNotificacao,cnes,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,ocupacaoCovidUti,ocupacaoCovidCli,ocupacaoHospitalarUti,ocupacaoHospitalarCli,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,origem,_p_usuario,estadoNotificacao,municipioNotificacao,estado,municipio,excluido,validado,_created_at,_updated_at
1290557,eH3QZgRDXt,2022-01-01T03:00:00.000Z,2088487,,,,,4.0,2.0,0.0,11.0,0.0,2.0,0.0,1.0,parse-cloud,_User$lTRFaLnL93,Sao Paulo,Novo Horizonte,Sao Paulo,Novo Horizonte,False,False,2022-01-01T10:57:14.836Z,2022-01-01T11:19:26.854Z
1290562,Utz1GzRrC8,2022-01-01T03:00:30.279Z,2776006,,,,,0.0,2.0,10.0,37.0,0.0,2.0,0.0,0.0,parse-cloud,_User$tBKnhSsB4s,Minas Gerais,Piumhi,Minas Gerais,Piumhi,False,False,2022-01-01T11:06:55.885Z,2022-01-01T11:06:55.885Z
1290563,AC3yAOM8AU,2022-01-01T03:00:21.398Z,2079216,,,,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,parse-cloud,_User$CIuFVMI2IM,Sao Paulo,Castilho,Sao Paulo,Castilho,False,False,2022-01-01T11:07:48.125Z,2022-01-01T11:07:48.125Z
1290564,ZFs57jspEw,2022-01-01T03:00:43.696Z,2075717,,,,,0.0,0.0,14.0,60.0,0.0,0.0,0.0,0.0,parse-cloud,_User$Fa7y1hVoEk,Sao Paulo,Sao Paulo,Sao Paulo,Sao Paulo,False,False,2022-01-01T11:08:15.258Z,2022-01-01T11:08:15.258Z
1290565,aqHzesd0cV,2022-01-01T03:00:41.394Z,6817203,,,,,0.0,1.0,4.0,21.0,0.0,0.0,0.0,0.0,parse-cloud,_User$WZhCRp36Nc,Sao Paulo,Caieiras,Sao Paulo,Caieiras,False,False,2022-01-01T11:12:25.262Z,2022-01-01T11:12:25.262Z
1290566,Tbq8iaVrdY,2022-01-01T03:00:12.789Z,2144204,,,,,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,parse-cloud,_User$HdYOsR7yad,Minas Gerais,Claudio,Minas Gerais,Claudio,False,False,2022-01-01T11:13:31.155Z,2022-01-01T11:13:31.155Z
1290569,9llw7XDM2r,2022-01-01T03:00:27.399Z,0678627,,,,,10.0,18.0,10.0,18.0,0.0,0.0,0.0,1.0,parse-cloud,_User$nOpco0VzoI,Espirito Santo,Linhares,Espirito Santo,Linhares,False,False,2022-01-01T11:15:56.871Z,2022-01-01T11:15:56.871Z
1290570,KEBK5ZMyvu,2022-01-01T03:00:32.475Z,2260050,,,,,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,parse-cloud,_User$STnoolVUnV,Rio Grande do Sul,Serafina Correa,Rio Grande do Sul,Serafina Correa,False,False,2022-01-01T11:17:25.506Z,2022-01-01T11:17:25.506Z
1290571,sZcNEXwZFO,2022-01-01T03:00:15.552Z,980016295111187,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,parse-cloud,_User$3zfIU6QFzD,Minas Gerais,Guape,Minas Gerais,Guape,False,False,2022-01-01T11:17:50.573Z,2022-01-01T11:17:50.573Z
1290572,JeIhcVKa0c,2022-01-01T03:00:24.985Z,2208857,,,,,1.0,16.0,15.0,74.0,0.0,4.0,0.0,0.0,parse-cloud,_User$BC3ccFVdsh,Minas Gerais,Itajuba,Minas Gerais,Itajuba,False,False,2022-01-01T11:21:18.564Z,2022-01-01T11:21:18.564Z
1290574,b4NeoqbWD4,2022-01-01T03:00:50.236Z,2210924,,,,,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,parse-cloud,_User$GIs8VAaB0Z,Minas Gerais,Teofilo Otoni,Minas Gerais,Teofilo Otoni,False,False,2022-01-01T11:21:36.448Z,2022-01-01T11:21:36.448Z
1290575,hx0COBlhMV,2022-01-01T03:00:27.472Z,2080796,,,,,0.0,2.0,25.0,72.0,0.0,0.0,0.0,1.0,parse-cloud,_User$905yofPkjj,Sao Paulo,Sao Paulo,Sao Paulo,Sao Paulo,False,False,2022-01-01T11:21:46.259Z,2022-01-01T11:21:46.259Z
1290576,3MpG3xwa7A,2022-01-01T03:00:53.587Z,0127604,,,,,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,parse-cloud,_User$6X8kcbPKaf,Sao Paulo,Barueri,Sao Paulo,Barueri,False,False,2022-01-01T11:24:14.507Z,2022-01-01T11:24:14.507Z
1290577,MKnqrF9an1,2022-01-01T03:00:47.583Z,2088576,,,,,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,parse-cloud,_User$LCPQ8cHLqM,Sao Paulo,Sao Paulo,Sao Paulo,Sao Paulo,False,False,2022-01-01T11:24:43.546Z,2022-01-01T11:24:43.546Z
1290578,cgKChOCprO,2022-01-01T03:00:38.122Z,2564238,,,,,3.0,0.0,10.0,10.0,0.0,1.0,0.0,0.0,parse-cloud,_User$5S3xKvdMsZ,Ceara,Barbalha,Ceara,Barbalha,False,False,2022-01-01T11:29:02.365Z,2022-01-01T11:29:02.365Z
1290579,OMz189ikYC,2022-01-01T03:00:08.429Z,2139200,,,,,0.0,1.0,8.0,37.0,1.0,0.0,0.0,0.0,parse-cloud,_User$0dZAyh7SWc,Minas Gerais,Tres Pontas,Minas Gerais,Tres Pontas,False,False,2022-01-01T11:29:28.122Z,2022-01-01T11:29:28.122Z
1290580,uVGjpivexy,2022-01-01T03:00:48.159Z,2111659,,,,,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,parse-cloud,_User$SsMidzadAo,Minas Gerais,Lavras,Minas Gerais,Lavras,False,False,2022-01-01T11:29:32.547Z,2022-01-01T11:29:32.547Z
1290581,cjajXDv48A,2022-01-01T03:00:00.000Z,2664879,,,,,6.0,8.0,8.0,36.0,0.0,1.0,0.0,0.0,parse-cloud,_User$P4ABogEEyd,Santa Catarina,Florianopolis,Santa Catarina,Florianopolis,False,False,2022-01-01T11:32:58.239Z,2022-01-03T16:54:59.645Z
1290584,4xWqDvVxrF,2022-01-01T03:00:00.000Z,2373270,,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,parse-cloud,_User$DaBioRPcQH,Ceara,Pacatuba,Ceara,Pacatuba,False,False,2022-01-01T11:42:58.661Z,2022-01-01T11:42:58.661Z
1290585,s2S1EsGb78,2022-01-01T02:00:03.354Z,0229385,,,,,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,parse-cloud,_User$TTOC4lrJsU,Minas Gerais,Timoteo,Minas Gerais,Timoteo,False,False,2022-01-01T11:43:12.869Z,2022-01-01T11:43:12.869Z
1290586,jUbW1yrekc,2022-01-01T03:00:34.181Z,2265052,,,,,1.0,0.0,24.0,50.0,0.0,0.0,0.0,0.0,parse-cloud,_User$x04MJJcmAJ,Rio Grande do Sul,Porto Alegre,Rio Grande do Sul,Porto Alegre,False,False,2022-01-01T11:45:10.542Z,2022-01-01T11:45:10.542Z
1290587,Uc8Fs1NY9t,2022-01-01T03:00:46.658Z,2080664,,,,,0.0,3.0,20.0,45.0,0.0,0.0,0.0,0.0,parse-cloud,_User$mnIySKuQyE,Sao Paulo,Tupa,Sao Paulo,Tupa,False,False,2022-01-01T11:47:14.900Z,2022-01-01T11:47:14.900Z
1290588,WUMeVBvTSS,2022-01-01T03:00:43.850Z,2751046,,,,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,parse-cloud,_User$la1yvVTXmX,Sao Paulo,Santo Anastacio,Sao Paulo,Santo Anastacio,False,False,2022-01-01T11:50:43.947Z,2022-01-01T11:50:43.947Z
1290589,zUPRexrbVc,2022-01-01T03:00:01.439Z,2764814,,,,,3.0,3.0,12.0,28.0,0.0,0.0,0.0,0.0,parse-cloud,_User$GKcCPgoGXj,Minas Gerais,Sao Lourenco,Minas Gerais,Sao Lourenco,False,False,2022-01-01T11:51:37.462Z,2022-01-01T11:51:37.462Z
1290591,yUTBSLF26r,2022-01-01T03:00:23.549Z,2599848,,,,,0.0,1.0,20.0,87.0,0.0,0.0,0.0,0.0,parse-cloud,_User$NWXlNmPL0f,Mato Grosso do Sul,Campo Grande,Mato Grosso do Sul,Campo Grande,False,False,2022-01-01T11:52:28.513Z,2022-01-01T11:52:28.513Z
1290592,8nBTMrPjtP,2022-01-01T03:00:49.254Z,2184834,,,,,7.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,parse-cloud,_User$x6y3CZc3h5,Minas Gerais,Teofilo Otoni,Minas Gerais,Teofilo Otoni,False,False,2022-01-01T11:53:11.110Z,2022-01-01T11:53:11.110Z
1290593,ORVF4ECZ85,2022-01-02T03:00:00.000Z,2675536,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,parse-cloud,_User$gk1w3AWe6u,Ceara,Iguatu,Ceara,Iguatu,False,False,2022-01-01T11:53:11.511Z,2022-01-03T13:38:29.119Z
1290594,7BBeVNnseA,2022-01-01T03:00:28.830Z,4042085,,,,,3.0,1.0,28.0,92.0,0.0,0.0,0.0,0.0,parse-cloud,_User$AwjvFSoMsF,Minas Gerais,Muriae,Minas Gerais,Muriae,False,False,2022-01-01T11:54:14.003Z,2022-01-01T11:54:14.003Z
1290595,XDz0v7qZmC,2022-01-01T03:00:47.951Z,2139626,,,,,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,parse-cloud,_User$C1OcO5AhVt,Minas Gerais,Resende Costa,Minas Gerais,Resende Costa,False,False,2022-01-01T11:55:02.280Z,2022-01-01T11:55:02.280Z
1290596,FHpGzyBfhu,2022-01-01T03:00:40.618Z,2077418,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,parse-cloud,_User$4BXDycVbiG,Sao Paulo,Sao Paulo,Sao Paulo,Sao Paulo,False,False,2022-01-01T11:57:08.620Z,2022-01-01T11:57:08.620Z
1290597,rKxBDe6RFR,2022-01-01T03:00:00.000Z,4044916,,,,,0.0,0.0,16.0,42.0,0.0,1.0,0.0,0.0,parse-cloud,_User$DNonO5kmXi,Espirito Santo,Vitoria,Espirito Santo,Vitoria,False,False,2022-01-01T11:58:08.691Z,2022-01-01T11:59:08.435Z
1290598,cQgXgEFiQq,2022-01-01T03:00:26.780Z,2558017,,,,,2.0,4.0,2.0,35.0,0.0,3.0,0.0,0.0,parse-cloud,_User$zRFFZMKrwX,Santa Catarina,Laguna,Santa Catarina,Laguna,False,False,2022-01-01T12:03:00.091Z,2022-01-01T12:03:00.091Z
1290599,Ay5WqH0qIL,2022-01-01T03:00:55.318Z,7498810,,,,,45.0,31.0,100.0,186.0,0.0,0.0,0.0,0.0,parse-cloud,_User$0AXfyRsOeu,Pernambuco,Caruaru,Pernambuco,Caruaru,False,False,2022-01-01T12:03:08.472Z,2022-01-01T12:03:08.472Z
1290600,f6wgXCa0An,2022-01-01T03:00:51.817Z,2077531,,,,,0.0,6.0,15.0,101.0,0.0,0.0,0.0,0.0,parse-cloud,_User$TIffnw9ZH0,Sao Paulo,Sao Paulo,Sao Paulo,Sao Paulo,False,False,2022-01-01T12:04:37.234Z,2022-01-01T12:04:37.234Z
1290601,DFDXDaea1v,2022-01-01T03:00:57.626Z,2077620,,,,,3.0,3.0,48.0,175.0,0.0,1.0,0.0,0.0,parse-cloud,_User$AcTBpQj3BG,Sao Paulo,Sao Paulo,Sao Paulo,Sao Paulo,False,False,2022-01-01T12:04:53.480Z,2022-01-01T12:04:53.480Z
1290602,5pmW9BkXjE,2022-01-01T03:00:20.601Z,2168693,,,,,6.0,3.0,0.0,9.0,0.0,0.0,0.0,1.0,parse-cloud,_User$vgvI4m4gkh,Minas Gerais,Arcos,Minas Gerais,Arcos,False,False,2022-01-01T12:04:59.270Z,2022-01-01T12:04:59.270Z
